Team,ELO,Blended,Blended_EloScale
Georgetown,1422.6,0.2058589215832724,1385.9517725562982
Creighton,1413.7,0.20130785695812814,1384.9441755295875
Queens (N.C.),1382.14,0.19094030234811338,1382.6488187153602
UMBC,1359.51,0.186529250220361,1381.6722201884936
Rutgers,1428.56,0.18643878094980165,1381.6521904645647
Central Arkansas,1373.34,0.1846736521089255,1381.2613943062324
Towson,1392.96,0.17801688662970938,1379.7875991271194
Davidson,1384.21,0.17262679159419436,1378.5942423680287
Monmouth,1389.62,0.1665172864854489,1377.2416095910219
Howard,1351.42,0.15906355818821394,1375.5913683642304
Louisiana Tech,1375.68,0.14325805230361432,1372.0920595108698
Valparaiso,1388.93,0.13940551764018183,1371.2391156852145
Long Island,1341.81,0.1258738643636385,1368.2432334618334
Providence,1402.82,0.1130203962248542,1365.3975001342933
Toledo,1374.07,0.1129787289275919,1365.3882750741611
Duquesne,1379.83,0.10807427173815562,1364.302437607823
Xavier,1401.09,0.10706401650941405,1364.0787690272728
George Washington,1375.37,0.10224294906942955,1363.0113938923948
Butler,1388.31,0.08779865543157345,1359.813454833909
Georgia Southern,1352.29,0.08746252430044439,1359.7390360426575
Marquette,1410.6,0.06559858113245248,1354.8984007314095
San Francisco,1373.35,0.06102756731346713,1353.886386991236
Wyoming,1365.84,0.05990678490636002,1353.6382479042293
Austin Peay,1335.14,0.05315127920152149,1352.1425918275136
Oregon,1406.09,0.05007067794364636,1351.4605525853617
Pittsburgh,1398.81,0.04974178416922789,1351.3877361310806
Harvard,1369.27,0.046980151568383324,1350.776315941153
DePaul,1373.53,0.036911203296195544,1348.5470700005196
Vermont,1330.02,0.03552314963906267,1348.2397575685857
Fairfield,1335.46,0.029516934351972918,1346.9099929610647
Southern Miss,1347.58,0.02177381640620059,1345.195681418107
Coastal Carolina,1345.04,0.01302861150607486,1343.259509734967
South Alabama,1326.95,0.00021705494249617437,1340.4230555502297
James Madison,1346.71,-0.005957691368996888,1339.055978495384
Idaho,1324.6,-0.006930921300842342,1338.8405072449395
Southern Illinois,1360.41,-0.008260878707603772,1338.5460572120173
Syracuse,1364.54,-0.018777416206963757,1336.2177158702784
Samford,1341.74,-0.02306937182318025,1335.2674850838857
Tulane,1340.98,-0.025686047305107644,1334.6881581235762
Maryland,1381.92,-0.03314648836975542,1333.0364307028844
William & Mary,1324.18,-0.03405614153752018,1332.8350352267328
Cornell,1357.09,-0.04442772191796297,1330.538787114612
Charlotte,1339.26,-0.056344100027198106,1327.900523732086
Northern Colorado,1317.65,-0.0565388927177649,1327.8573970019675
LSU,1353.25,-0.05764881908980651,1327.611661420416
Middle Tennessee,1337.62,-0.061990610277673414,1326.650397133523
Northern Kentucky,1308.48,-0.08811114820365258,1320.8673598624423
Utah Tech,1315.06,-0.09019235026785165,1320.4065856953857
Marshall,1313.26,-0.09638973956715328,1319.0344955262315
Western Kentucky,1319.47,-0.09974484943176397,1318.2916806021822
South Carolina,1352.83,-0.10856708248738116,1316.33845503235
Marist,1307.56,-0.1160148056816091,1314.6895433239094
Fordham,1320.13,-0.12220857630255504,1313.3182543232406
UC Davis,1304.83,-0.12541417945221686,1312.6085399006922
Pacific,1310.62,-0.13021534681999825,1311.5455706038401
Green Bay,1299.47,-0.16860473053511715,1303.0462342782455
Drexel,1306.32,-0.169756324204421,1302.791273636562
Mercer,1285.19,-0.19303458269570928,1297.6375116105864
Campbell,1306.45,-0.19404483792445082,1297.413843030036
Notre Dame,1327.95,-0.19422877457995213,1297.3731198053729
Lehigh,1288.17,-0.19532898649345265,1297.129534986412
Montana,1283.95,-0.19730389532411718,1296.6922939385024
Saint Peter's,1297.78,-0.19915949343555267,1296.281468056241
Lipscomb,1279.08,-0.21407127637278406,1292.9800277586237
Memphis,1322.14,-0.21423257004047602,1292.9443176482694
Quinnipiac,1271.58,-0.2398937317865415,1287.2629853871474
UC Santa Barbara,1278.1,-0.24218151349405048,1286.756474881119
Rhode Island,1291.92,-0.24407154154603683,1286.338026275696
North Dakota,1276.28,-0.2484477626744554,1285.3691392656408
Wofford,1266.1,-0.2587613392088604,1283.0857330943886
